2026-02-12T12:39:22.2921400Z	IN	{"NetsResponse":{"MessageHeader":{"$":{"ECRID":"POS-20260212123838-2112217f","TerminalID":"42696609","VersionNumber":1}},"Dfs13LocalMode":{"ResultData":"D  30957852*******42428;20260212133920;2;019;916470688791;000000;00000000050;;;;;42696609;1229329;BankAxept;00;KC1;D5780000021010;0000008000;;00010;250301;0000000000;;;;Undefined;;004;0;;01","Result":"0","Accumulator":" ","IssuerID":"30","TruncatedPAN":"957852*******42428","TimeStamp":"20260212133920","CVM":"2","SessionNumber":"019","StanAuth":"916470688791","TotalAmount":50,"RejectionSource":"0","RejectionReason":"","TipAmount":0,"SurchargeAmount":0,"TerminalID":"42696609","SiteID":"1229329","CardIssuerName":"BankAxept","ResponseCode":"00","TCC":"KC1","AID":"D5780000021010","TVR":"0000008000","TSI":"","ATC":"00010","AED":"250301","IAC":"0000000000","OrganisationNumber":"","BankAgent":"","EncryptedPAN":"","AccountType":"Undefined","OptionalData":"","XZCounter":"004","TransactionType":"0","PaymentAccountReference":"","ProductType":"01","TerminalId":"42696609"}}}
2026-02-12T12:39:32.5025910Z	IN	{"NetsResponse":{"MessageHeader":{"$":{"ECRID":"POS-20260212123838-2112217f","TerminalID":"42696609","VersionNumber":1}},"Dfs13TerminalReady":""}}
2026-02-12T14:01:04.9627940Z	OUT	{"NetsRequest":{"MessageHeader":{"$":{"ECRID":"POS-20260212140104-7ad840b8","TerminalID":"42696609","VersionNumber":"1"}},"Open":{}}}
2026-02-12T14:01:04.9964430Z	IN	{"NetsResponse":{"MessageHeader":{"$":{"ECRID":"POS-20260212140104-7ad840b8","TerminalID":"42696609","VersionNumber":1}},"MethodRejected":{"Code":"7102","Info":"ALREADY_OPEN"}}}
2026-02-12T15:01:35.6432480Z	OUT	{"NetsRequest":{"MessageHeader":{"$":{"ECRID":"POS-20260212150135-523f138b","TerminalID":"42696609","VersionNumber":"1"}},"Open":{}}}
2026-02-12T15:01:36.0095760Z	IN	{"NetsResponse":{"MessageHeader":{"$":{"ECRID":"POS-20260212150135-523f138b","TerminalID":"42696609","VersionNumber":1}},"MethodRejected":{"Code":"7102","Info":"ALREADY_OPEN"}}}
2026-02-12T15:02:44.6334470Z	OUT	{"NetsRequest":{"MessageHeader":{"$":{"ECRID":"POS-20260212150135-523f138b","TerminalID":"42696609","VersionNumber":"1"}},"Open":{}}}
2026-02-12T15:02:45.0549140Z	IN	{"NetsResponse":{"MessageHeader":{"$":{"ECRID":"POS-20260212150135-523f138b","TerminalID":"42696609","VersionNumber":1}},"MethodRejected":{"Code":"7102","Info":"ALREADY_OPEN"}}}
2026-02-12T15:04:05.1411820Z	OUT	{"NetsRequest":{"MessageHeader":{"$":{"ECRID":"POS-20260212150135-523f138b","TerminalID":"42696609","VersionNumber":"1"}},"Open":{}}}
2026-02-12T15:04:06.1093570Z	IN	{"NetsResponse":{"MessageHeader":{"$":{"ECRID":"POS-20260212150135-523f138b","TerminalID":"42696609","VersionNumber":1}},"MethodRejected":{"Code":"7102","Info":"ALREADY_OPEN"}}}
2026-02-12T15:05:28.4046970Z	OUT	{"NetsRequest":{"MessageHeader":{"$":{"ECRID":"POS-20260212150135-523f138b","TerminalID":"42696609","VersionNumber":"1"}},"Open":{}}}
2026-02-12T15:05:29.1640120Z	IN	{"NetsResponse":{"MessageHeader":{"$":{"ECRID":"POS-20260212150135-523f138b","TerminalID":"42696609","VersionNumber":1}},"MethodRejected":{"Code":"7102","Info":"ALREADY_OPEN"}}}
2026-02-12T15:05:29.1662690Z	OUT	{"NetsRequest":{"MessageHeader":{"$":{"ECRID":"POS-20260212150135-523f138b","TerminalID":"42696609","VersionNumber":"1"}},"Dfs13TransferAmount":{"TransactionType":"48","OperId":"4321","Amount1":"50","Amount2":"0","Amount3":"0","Type2":"48","Type3":"48","HostData":"","OptionalData":""}}}
2026-02-12T15:05:30.0586830Z	IN	{"NetsResponse":{"MessageHeader":{"$":{"ECRID":"POS-20260212150135-523f138b","TerminalID":"42696609","VersionNumber":1}},"Dfs13DisplayText":{"$":{"Source":"1","TextID":"1011"},"_":"VENTER PÃ KORTET\r"}}}
2026-02-12T15:05:43.8804780Z	IN	{"NetsResponse":{"MessageHeader":{"$":{"ECRID":"POS-20260212150135-523f138b","TerminalID":"42696609","VersionNumber":1}},"Dfs13DisplayText":{"$":{"Source":"1","TextID":"1025"},"_":"VENNLIGST VENT\r"}}}
2026-02-12T15:05:44.2829060Z	IN	{"NetsResponse":{"MessageHeader":{"$":{"ECRID":"POS-20260212150135-523f138b","TerminalID":"42696609","VersionNumber":1}},"Dfs13DisplayText":{"$":{"Source":"1","TextID":"1004"},"_":"KJÃP\rVENNLIGST VENT\r"}}}
2026-02-12T15:05:45.1346900Z	IN	{"NetsResponse":{"MessageHeader":{"$":{"ECRID":"POS-20260212150135-523f138b","TerminalID":"42696609","VersionNumber":1}},"Dfs13DisplayText":{"$":{"Source":"2","TextID":"00"},"_":"GODKJENT\r"}}}
2026-02-12T15:05:45.2748450Z	IN	{"NetsResponse":{"MessageHeader":{"$":{"ECRID":"POS-20260212150135-523f138b","TerminalID":"42696609","VersionNumber":1}},"Dfs13PrintText":{"Text":"NORGESGASS AS\r\nNEDRE EIKERVEI 26\r\nDRAMMEN\r\n\r\nBax: 42696609-1229329\r\n12/02/2026 16:05\r\n\r\nBankAxept \r\nContactless\r\n*******4242-3\r\nAID: D5780000021010\r\nTVR: 0000008000\r\nRef.: 122412 064883 KC1\r\nResp.: 00\r\nOverf.: 019\r\n\r\nKJÃP\r\nNOK                 0,50\r\nGODKJENT\r\n\r\n\r\nTAKK FOR BESÃKET \r\nVELKOMMEN IGJEN\r\n\r\n\f"}}}
2026-02-12T15:05:45.5013140Z	IN	{"NetsResponse":{"MessageHeader":{"$":{"ECRID":"POS-20260212150135-523f138b","TerminalID":"42696609","VersionNumber":1}},"Dfs13LocalMode":{"ResultData":"D  30957852*******42428;20260212160544;2;019;122412064883;000000;00000000050;;;;;42696609;1229329;BankAxept;00;KC1;D5780000021010;0000008000;;00011;250301;0000000000;;;;Undefined;;004;0;;01","Result":"0","Accumulator":" ","IssuerID":"30","TruncatedPAN":"957852*******42428","TimeStamp":"20260212160544","CVM":"2","SessionNumber":"019","StanAuth":"122412064883","TotalAmount":50,"RejectionSource":"0","RejectionReason":"","TipAmount":0,"SurchargeAmount":0,"TerminalID":"42696609","SiteID":"1229329","CardIssuerName":"BankAxept","ResponseCode":"00","TCC":"KC1","AID":"D5780000021010","TVR":"0000008000","TSI":"","ATC":"00011","AED":"250301","IAC":"0000000000","OrganisationNumber":"","BankAgent":"","EncryptedPAN":"","AccountType":"Undefined","OptionalData":"","XZCounter":"004","TransactionType":"0","PaymentAccountReference":"","ProductType":"01","TerminalId":"42696609"}}}
2026-02-12T15:05:48.8723240Z	IN	{"NetsResponse":{"MessageHeader":{"$":{"ECRID":"POS-20260212150135-523f138b","TerminalID":"42696609","VersionNumber":1}},"Dfs13TerminalReady":""}}
